,_id,shopname,description,timetable,web,photo,location,address,district,neighbourhood,zip_code,type,tags,phone,product_list,nearest_stations
173,628290eba85a7a5a0184d1fa,Darthy,"Compra-Venda, reparació i restauració d'aparells d'electrònica convencional (no digital): hi-fi, ràdios, fotografia,...",,,https://cdn.pixabay.com/photo/2016/03/02/20/13/grocery-1232944_1280.jpg,"[41.3799359, 2.160671]","Floridablanca, 114",Eixample,Sant Antoni,08001,herbalist,"['Local products', 'Bakery', 'Allows pets']",,,"{'6681': 3954.72, '6669': 829.22, '11758': 2177.79, '10532': 3889.51}"
174,628290eba85a7a5a0184d1fb,Velociutat,Botiga i taller de bicicletes. Restauració de bicicletes antigues,,,https://i.pinimg.com/564x/25/ae/91/25ae91b15d98490d89536c69a617a237.jpg,"[41.3759329, 2.1625787]","Viladomat, 14",Eixample,Sant Antoni,08015,fruits & vegetables,"['Local products', 'Second hand', 'Vegan food']",,,"{'6669': 1275.91, '11758': 2649.8}"
175,628290eba85a7a5a0184d1fc,Hierbalimón,"Dietètica i alimentació ecològica, de proximitat i de comerç just.<br />
Participa a l'App ""To good to go"" en què ofereixen productes amb data de caducitat propera a millor preu.",,,https://i.pinimg.com/564x/ce/84/41/ce844160a3d2dd51382d52e955e05a50.jpg,"[41.3848914, 2.1434589]","Entença, 181",Eixample,La Nova Esquerra de l'Eixample,08001,bakery,"['Allows pets', 'Restaurant', 'Herbalist']",,,"{'6681': 2865.17, '6669': 866.01, '11758': 1748.7, '10532': 2379.29}"
176,628290eba85a7a5a0184d1fd,Forn Provença,"Forn artesà amb obrador propi de pa i bolleria. Ús de farines ecològiques, de proximitat (Banyoles, Cervera). Bosses de paper.",,,https://i.pinimg.com/564x/83/3b/9a/833b9a1f93b05d381bc442a45fca6197.jpg,"[41.3851824, 2.14842]","Provença, 69",Eixample,La Nova Esquerra de l'Eixample,08029,bar,"['Recycled material', 'Vegan food', 'Local products']",,,"{'6681': 3233.08, '6669': 451.02, '11758': 1563.72, '10532': 2787.41}"
177,628290eba85a7a5a0184d1fe,Cellarer,"Vins de proximitat,  quasi tots ecològics i biodinàmics",,,https://i.pinimg.com/564x/83/3b/9a/833b9a1f93b05d381bc442a45fca6197.jpg,"[41.3893867, 2.1582373]","Aribau, 76",Eixample,L'Antiga Esquerra de l'Eixample,08001,bakery,"['Accessible', 'Local products', 'Allows pets']",,,"{'6669': 581.51, '11758': 1116.33, '10532': 3600.73}"
178,628290eba85a7a5a0184d1ff,Fruiteria Alcaley,"Fruita i verdura, el que es pot de proximitat. En temporada també producte ecològic: taronges i clementines",,,https://i.pinimg.com/564x/01/d6/73/01d6739c176f5ee7f0192c4a3914d8d3.jpg,"[41.3876539, 2.1608079]","Consell de Cent, 271",Eixample,L'Antiga Esquerra de l'Eixample,08001,others,"['Vegan food', 'Bar', 'Bakery']",,,"{'6669': 637.07, '11758': 1379.79, '10532': 3809.06}"
179,628290eba85a7a5a0184d200,Papereria Emilio Segarra,"Material d'oficina i papereria. Paper i llibretes de paper reciclat, certificat. Material d'escriptura amb recanvi, de plàstic reciclat.<br />
Subministradors de material d'oficina sostenible per encàrrec.",,www.papeleriasegarra.com,https://i.pinimg.com/564x/71/d1/5b/71d15bfec596e1b7866ae3bc12e381d3.jpg,"[41.3866081, 2.1590303]","Muntaner, 63",Eixample,L'Antiga Esquerra de l'Eixample,08001,fruits & vegetables,"['Herbalist', 'Supermarket', 'For children']",,,"{'6669': 456.82, '11758': 1429.15, '10532': 3662.05}"
180,628290eba85a7a5a0184d201,Beiropack,"Envasos compostables, biodegradables i de cartró per la venda a hosteleria i al detall.",,www.crojas.com.es,https://i.pinimg.com/564x/8c/d4/b7/8cd4b7791b6db9189a2f9ac9bd6e81a0.jpg,"[41.3854345, 2.1579749]","Consell de Cent, 223",Eixample,L'Antiga Esquerra de l'Eixample,08001,bakery,"['Accessible', 'Supermarket', 'Bar']",,,"{'6681': 3953.52, '6669': 346.62, '11758': 1528.57, '10532': 3580.01}"
181,628290eba85a7a5a0184d202,L'Artesà de Vic,"Venta de carns i embotits de qualitat, de proximitat, algunes ecològiques. Pel que fa a les safates on envasen la carn, aquestes són biodegradables i, a més, admeten compres amb carmanyola reutilitzable dels clients. ",,https://www.eixfortpienc.com/cat/soci/l-artesa-de-vic,https://i.pinimg.com/564x/b7/ed/e3/b7ede31ce52cca67b321f8e7b615403e.jpg,"[41.4021478, 2.182933]","Diputació, 480",Eixample,Fort Pienc,08013,pharmacy,"['Herbalist', 'Supermarket', 'Recycled material']",,,"{'10533': 3946.08, '10534': 1810.95, '6669': 3064.28, '11758': 2493.44}"
182,628290eba85a7a5a0184d203,Forn Lacatarga,"Forn de pà i pastisseria artesà amb obrador propi. Farines ecològiques, de proximitat (Farinera Roca de Lleida). Bosses de paper",,,https://cdn.pixabay.com/photo/2016/03/02/20/13/grocery-1232944_1280.jpg,"[41.3988744, 2.165152]","Roselló, 278",Eixample,Dreta de l'Eixample,08001,herbalist,"['Plastic free', 'Vegan food', 'Fruits & vegetables']",,,"{'10533': 3346.52, '10534': 3330.62, '6669': 1777.13, '11758': 981.58}"
183,628290eba85a7a5a0184d204,Ekoteràpia,"Alimentació envasada ECO, tès a granel, algun ECO. Es ven en bosses de paper i molts clients les reutilitzen. Disposen també de sucre de canya de comerç just.<br />
Són punt de recollida de Cistelles de fruita i verdura ECO (Tugas i Companyia.)",,https://www.gaudishopping.cat/es/socio/ekoterapia,https://i.pinimg.com/564x/b7/ed/e3/b7ede31ce52cca67b321f8e7b615403e.jpg,"[41.4099908, 2.1747545]","Indústria, 159",Eixample,Sagrada Família,08001,cosmetics,"['Recycled material', 'Herbalist', 'Bar']",,,"{'10533': 2860.19, '10534': 2573.96, '6669': 3249.91, '11758': 2177.32}"
